host_id,lgas_count,total_listings,total_stays,avg_price_across_lgas,distribution_type,lga_names,lga_codes
233355650,1,8.0,36.0,100.0,CONCENTRATED,INNER WEST,14170
23476401,1,8.0,240.0,350.125,CONCENTRATED,SYDNEY,17200
23476889,1,8.0,151.0,44.375,CONCENTRATED,INNER WEST,14170
2350396,1,8.0,219.0,295.0,CONCENTRATED,UPPER HUNTER SHIRE,17620
235851346,1,8.0,8.0,4052.375,CONCENTRATED,NORTH SYDNEY,15950
235906,1,8.0,174.0,32.375,CONCENTRATED,BAYSIDE,11100
23645646,1,8.0,240.0,149.875,CONCENTRATED,WAVERLEY,18050
2364607,1,8.0,8.0,220.0,CONCENTRATED,WAVERLEY,18050
23682561,1,8.0,240.0,90.125,CONCENTRATED,NORTHERN BEACHES,15990
237171090,1,8.0,210.0,293.75,CONCENTRATED,SYDNEY,17200
237690919,1,8.0,212.0,150.125,CONCENTRATED,INNER WEST,14170
23967248,1,8.0,0.0,93.25,CONCENTRATED,NORTH SYDNEY,15950
